part_id,part_year,diameter,length,material,failure_year
RS10001,1970,150,29.74388686,CU,2005
RS10005,1978,150,43.693274,HDPE,2009
RS10013,1968,80,98.64373718,CU,2010
RS10016,1971,80,56.19750258,CU,2003
RS10016,1971,80,56.19750258,CU,2008
RS10016,1971,80,56.19750258,CU,2009
RS10016,1971,80,56.19750258,CU,2012
RS10016,1971,80,56.19750258,CU,2013
RS10016,1971,80,56.19750258,CU,2013
RS10019,1959,80,129.8850189,HDPE,2009
RS10019,1959,80,129.8850189,HDPE,2011
RS10021,1961,100,151.4797439,HDPE,2010
RS10034,1959,150,15.79739556,CU,2005
RS10036,1950,80,198.0092742,HDPE,2007
RS10036,1950,80,198.0092742,HDPE,2011
RS10041,1969,100,51.01256627,CU,2000
RS10041,1969,100,51.01256627,CU,2002
RS10041,1969,100,51.01256627,CU,2008
RS10041,1969,100,51.01256627,CU,2010
RS10044,1968,100,17.2961781,CU,2006
RS10044,1968,100,17.2961781,CU,2014
RS10056,1963,100,201.3220006,HDPE,2002
RS10065,1966,80,45.48889643,HDPE,2004
RS10066,1959,100,7.993608227,CU,2006
RS10069,1964,80,85.28830357,CU,2000
RS10069,1964,80,85.28830357,CU,2002
RS10069,1964,80,85.28830357,CU,2004
RS10069,1964,80,85.28830357,CU,2005
RS10069,1964,80,85.28830357,CU,2011
RS10084,1967,150,133.3999934,CU,2008
RS10111,1958,100,69.62737201,HDPE,2004
RS10113,1957,100,7.129127819,CU,2001
RS10118,1957,100,28.54263861,HDPE,2003
RS10128,1967,80,50.98853822,CU,2003
RS10130,1959,100,18.18417525,CU,2003
RS10131,1964,100,181.6586643,HDPE,2006
RS10131,1964,100,181.6586643,HDPE,2013
RS10132,1955,100,17.24042442,CU,2013
RS10136,1960,80,123.9189001,CU,2002
RS10136,1960,80,123.9189001,CU,2005
RS10136,1960,80,123.9189001,CU,2008
RS10136,1960,80,123.9189001,CU,2010
RS10136,1960,80,123.9189001,CU,2011
RS10136,1960,80,123.9189001,CU,2014
RS10136,1960,80,123.9189001,CU,2014
RS10138,1968,80,48.23983077,HDPE,2005
RS10143,1970,100,68.80274128,HDPE,2002
RS10163,1965,150,59.58750341,HDPE,2012
RS10168,1967,150,45.82663925,CU,2014
RS10170,1947,200,43.3762491,HDPE,2002
RS10171,1966,100,14.23799124,CU,2003
RS10180,1960,100,22.48393505,CU,2008
RS10183,1961,300,131.4736332,CU,2001
RS10183,1961,300,131.4736332,CU,2006
RS10189,1966,80,101.6161578,CU,2005
RS10189,1966,80,101.6161578,CU,2007
RS10195,1962,150,141.0579173,HDPE,2003
RS10195,1962,150,141.0579173,HDPE,2008
RS10198,1962,125,52.2147558,HDPE,2014
RS10205,1970,200,5.531200037,CU,2013
RS10206,1972,200,72.83708005,CU,2013
RS10209,1960,80,14.22292929,CU,2001
RS10215,1959,150,19.00776937,CU,2005
RS10217,1972,80,63.97119145,CU,2002
RS10217,1972,80,63.97119145,CU,2004
RS10219,1963,80,48.77937868,HDPE,2002
RS10219,1963,80,48.77937868,HDPE,2002
RS10220,1956,80,11.60853349,CU,2006
RS10227,1956,125,76.14656567,HDPE,2002
RS10227,1956,125,76.14656567,HDPE,2003
RS10233,1967,100,6.473257881,CU,2006
RS10237,1958,80,43.04251786,HDPE,2007
RS10238,1959,100,198.1799604,HDPE,2009
RS10239,1958,80,13.88537417,CU,2003
RS10239,1958,80,13.88537417,CU,2003
RS10260,1959,125,9.006069562,CU,2002
RS10276,1959,125,21.32144321,CU,2015
RS10278,1950,100,6.676515107,HDPE,2001
RS10278,1950,100,6.676515107,HDPE,2007
RS10278,1950,100,6.676515107,HDPE,2009
RS10278,1950,100,6.676515107,HDPE,2011
RS10278,1950,100,6.676515107,HDPE,2011
RS10281,1950,80,71.3756635,HDPE,2004
RS10281,1950,80,71.3756635,HDPE,2007
RS10281,1950,80,71.3756635,HDPE,2009
RS10281,1950,80,71.3756635,HDPE,2009
RS10281,1950,80,71.3756635,HDPE,2009
RS10281,1950,80,71.3756635,HDPE,2013
RS10293,1953,125,47.62643864,HDPE,2007
RS10293,1953,125,47.62643864,HDPE,2009
RS10293,1953,125,47.62643864,HDPE,2009
RS102936,1974,100,30.29973823,CU,2000
RS102936,1974,100,30.29973823,CU,2005
RS102946,1966,100,14.6410868,CU,2006
RS102952,1967,100,219.5933766,CU,2010
RS102952,1967,100,219.5933766,CU,2011
RS102959,1966,100,6.077981725,CU,2004
RS102959,1966,100,6.077981725,CU,2006
RS102960,1972,100,114.0272448,CU,2004
RS102964,1973,80,186.3885278,CU,2003
RS102977,1978,125,3.517646335,CU,2005
RS102980,1962,125,94.41755103,CU,2013
RS102982,1964,100,56.38224565,CU,2007
RS102992,1960,100,142.7022676,HDPE,2008
RS103025,1966,80,37.85697713,HDPE,2014
RS103037,1957,80,177.1327676,HDPE,2015
RS103037,1957,80,177.1327676,HDPE,2015
RS103044,1972,80,1.98558586,CU,2008
RS103044,1972,80,1.98558586,CU,2013
RS103046,1959,150,75.36879318,HDPE,2007
RS103046,1959,150,75.36879318,HDPE,2009
RS103054,1963,80,11.98040882,CU,2008
RS103060,1977,80,85.72556626,CU,2009
RS103066,1960,80,146.4141147,HDPE,2008
RS103070,1983,150,17.33475939,GI,2010
RS103081,1972,125,295.3476697,CU,2013
RS103093,1962,150,169.996841,HDPE,2007
RS103101,1974,150,365.8732091,CU,2015
RS103120,1967,125,167.7957836,CU,2009
RS103122,1963,100,114.020929,CU,2008
RS103122,1963,100,114.020929,CU,2009
RS10323,1953,100,40.72111387,HDPE,2005
RS10324,1954,150,74.51650364,HDPE,2000
RS10324,1954,150,74.51650364,HDPE,2006
RS10324,1954,150,74.51650364,HDPE,2010
RS10330,1977,125,55.55632298,CU,2009
RS10330,1977,125,55.55632298,CU,2014
RS10332,1961,100,16.46266078,CU,2005
RS10339,1959,100,23.86532229,CU,2003
RS10342,1969,100,113.7164495,CU,2007
RS10343,1966,80,215.2860697,CU,2005
RS10343,1966,80,215.2860697,CU,2005
RS10343,1966,80,215.2860697,CU,2007
RS10343,1966,80,215.2860697,CU,2008
RS10344,1971,80,14.80301459,CU,2002
RS103444,1963,150,338.6495291,HDPE,2003
RS103444,1963,150,338.6495291,HDPE,2012
RS103449,1972,150,421.9366873,HDPE,2006
RS103458,1962,150,239.7141834,HDPE,2011
RS103480,1963,80,93.99569915,HDPE,2005
RS103480,1963,80,93.99569915,HDPE,2006
RS103484,1938,100,59.90583112,CU,2004
RS103484,1938,100,59.90583112,CU,2014
RS103489,1925,100,252.8241095,CU,2005
RS103489,1925,100,252.8241095,CU,2007
RS103492,1954,80,57.93075893,CU,2006
RS10352,1961,125,7.105726384,CU,2004
