Part ID,Failure_Year
RS95335,2006
RS185818,2008
RS56602,2001
RS140639,2003
RS83016,2004
RS14565,2001
RS187127,2010
RS133653,2002
RS33359,2004
RS75396,2002
RS47782,2005
RS182641,2003
RS35517,2004
RS111636,2010
RS139989,2009
RS198573,2007
RS165371,2003
RS125290,2004
RS247145,2007
RS143857,2002
RS242176,2011
RS119032,2002
RS124143,2004
RS91575,2007
RS41123,2005
RS24617,2001
RS39825,2003
RS13108,2009
RS188186,2003
RS139247,2009
RS13301,2007
RS207050,2003
RS208560,2010
RS29648,2009
RS186795,2006
RS93439,2009
RS182450,2006
RS43058,2007
RS20689,2005
RS147763,2003
RS25290,2005
RS199025,2006
RS132745,2004
RS49739,2004
RS49736,2004
RS30417,2003
RS150295,2010
RS123619,2007
RS211727,2003
RS211888,2004
RS96151,2004
RS206395,2007
RS176365,2005
RS206337,2006
RS206394,2001
RS27379,2006
RS236482,2010
RS40843,2011
RS190526,2004
RS116092,2009
RS185199,2009
RS130050,2009
RS206911,2008
RS184030,2007
RS159559,2009
RS37566,2006
RS154638,2004
RS142425,2008
RS47271,2004
RS224292,2007
RS31847,2007
RS118905,2005
RS208949,2004
RS72234,2006
RS92609,2002
RS50831,2009
RS210445,2005
RS116296,2008
RS60480,2004
RS209433,2008
RS47115,2006
RS21010,2003
RS15181,2007
RS172837,2006
RS158237,2006
RS193490,2007
RS222044,2007
RS133347,2006
RS174081,2006
RS116131,2008
RS206290,2000
RS29243,2007
RS54631,2004
RS10343,2007
RS10339,2003
RS51889,2011
RS200468,2011
RS198342,2007
RS166800,2009
RS23240,2008
RS22927,2005
RS22932,2005
RS118585,2003
RS74131,2010
RS176937,2008
RS185567,2004
RS175588,2006
RS32885,2010
RS72848,2012
RS72848,2008
RS153993,2008
RS163169,2011
RS35457,2004
RS35457,2003
RS139919,2009
RS126185,2006
RS53491,2007
RS34475,2008
RS178250,2003
RS119071,2002
RS61682,2004
TS51264,2007
RS164287,2005
RS211412,2007
RS71655,2009
RS119253,2007
RS46282,2004
RS165825,2002
RS165825,2008
RS96248,2005
RS21013,2002
RS21049,2006
RS66942,2002
RS131975,2006
RS76533,2005
RS35126,2005
RS24557,2002
RS24557,2005
RS15755,2005
RS170932,2007
RS115506,2003
RS115729,2004
RS115729,2005
RS55243,2008
RS2249,2004
RS135914,2005
RS17905,2000
RS194215,2008
RS84215,2001
RS131191,2012
RS38777,2003
RS113979,2005
RS113852,2007
RS171640,2002
RS148826,2005
RS4765,2004
RS5152,2004
RS189905,2002
RS29424,2009
RS231649,2007
RS39437,2006
RS1505,2002
RS122938,2006
RS176441,2004
RS162858,2006
RS74659,2000
RS227888,2010
RS33363,2005
RS190421,2000
RS12745,2005
RS9638,2007
RS184344,2005
RS169529,2005
RS24519,2003
RS8467,2005
RS64176,2002
RS124122,2003
RS186352,2005
RS13896,2009
RS193776,2006
RS43793,2004
RS40281,2006
RS81419,2009
RS21954,2004
RS21930,2007
RS161408,2010
RS198151,2002
RS44052,2007
RS236737,2011
RS37734,2011
RS46643,2007
RS193266,2006
RS43622,2007
RS155862,2004
RS12743,2006
RS61060,2006
RS115696,2006
RS29379,2006
RS155877,2005
RS169923,2003
RS112998,2005
RS94390,2002
RS187143,2004
RS111723,2008
RS8383,2004
RS130701,2010
RS50817,2007
RS33390,2011
RS201858,2008
RS32401,2005
RS106889,2007
RS211969,2006
RS193068,2005
RS163143,2004
RS84229,2006
RS48131,2009
RS106113,2002
RS10571,2002
RS10571,2005
RS183100,2003
RS123807,2008
RS35389,2007
RS166362,2008
RS8899,2007
RS24470,2006
RS16566,2004
RS203253,2008
RS7009,2005
RS28722,2009
RS16615,2011
RS200211,2002
RS193348,2001
RS21408,2010
RS123813,2012
RS188787,2006
RS37956,2011
RS169515,2003
RS7205,2007
RS138469,2009
RS102992,2008
RS181236,2002
RS92558,2005
RS111382,2006
RS49881,2006
RS18933,2004
RS132645,2004
RS20039,2010
RS13148,2012
RS24288,2004
RS136083,2006
RS13142,2012
RS1412,2006
RS1412,2002
RS24389,2008
RS116909,2009
RS191760,2005
RS196343,2002
RS11822,2001
RS182839,2007
RS31941,2006
RS192281,2009
RS31098,2007
RS28540,2007
RS209342,2007
RS20580,2010
RS75441,2004
RS207425,2004
RS49218,2006
RS203008,2003
RS10903,2006
RS195937,2003
RS195937,2003
RS112927,2004
RS128549,2005
RS197147,2004
RS5480,2007
RS46739,2002
RS12356,2008
RS159878,2002
RS159876,2004
RS114395,2003
RS30945,2010
RS13187,2008
RS207943,2006
RS43395,2005
RS18207,2007
RS142949,2009
RS122348,2005
RS202038,2009
RS177903,2012
RS180389,2005
RS180390,2006
RS170451,2001
RS39362,2002
RS43602,2011
RS144212,2009
RS33442,2003
RS64540,2003
RS161668,2006
RS11775,2006
RS195069,2006
RS125878,2008
RS47222,2010
RS50826,2005
RS92526,2002
RS203056,2005
RS9328,2007
RS193217,2007
RS193217,2010
RS140020,2007
RS7258,2010
RS204174,2008
RS37496,2005
RS30581,2008
RS14013,2004
RS40404,2004
RS11042,2012
RS188083,2003
RS72951,2011
RS168507,2006
RS126037,2008
RS126037,2006
RS126488,2009
RS206597,2002
RS206597,2005
RS198811,2003
RS160213,2010
RS160120,2009
RS139374,2005
RS95658,2008
RS95658,2006
RS140059,2011
RS205090,2007
RS183824,2006
RS91145,2007
RS162900,2003
RS192878,2006
RS37939,2005
RS37938,2007
RS209399,2003
RS51836,2002
RS20629,2007
RS41441,2007
RS200189,2007
RS21866,2009
RS55594,2007
RS49230,2007
RS56737,2006
RS134936,2006
RS205062,2002
RS35076,2003
RS35435,2003
RS163174,2010
RS165553,2004
RS95406,2004
RS165551,2007
RS73400,2001
RS57486,2000
RS231493,2009
RS11452,2003
RS142069,2008
RS123638,2006
RS56430,2002
RS25875,2004
RS18456,2004
RS188305,2005
RS200378,2006
RS19782,2009
RS30434,2007
RS106716,2002
RS208706,2000
RS1578,2005
RS132735,2007
RS118878,2006
RS188521,2011
RS195798,2011
RS195614,2007
RS163578,2012
RS188726,2005
RS19163,2008
RS191161,2008
TS58887,2008
TS58887,2006
RS219028,2005
RS159351,2010
RS31868,2008
RS194041,2004
RS15914,2004
RS185201,2007
RS74688,2001
RS200102,2004
RS44761,2005
RS92628,2010
RS158374,2009
RS84539,2004
RS75989,2005
RS95750,2003
RS168828,2009
RS51242,2010
RS19051,2011
RS44316,2003
RS161571,2005
RS10954,2006
RS122279,2003
RS122279,2004
RS73053,2003
RS32207,2008
RS30820,2005
RS125311,2010
RS125311,2009
RS15986,2009
RS76627,2004
RS222044,2003
RS41048,2001
