part_id,failure_year,part_year,diameter,length,material
RS10953,2014,1967,300,140.5247672,CU
RS10833,2014,1962,300,62.7913865,CU
RS10175,2014,1973,80,33.24791069,CU
RS10371,2014,1967,150,141.8857883,HDPE
RS106305,2014,1964,150,422.15943160000006,CU
RS10253,2014,1966,80,36.93491656,CU
RS106176,2014,1959,225,62.48362329,CU
RS104301,2014,1974,300,43.96501607,CU
RS105029,2014,1986,150,203.9056604,HDPE
RS106678,2014,1968,250,94.87407855,CU
RS103500,2014,1968,300,24.7835806,CU
RS106093,2014,1973,225,50.61617648,CU
RS109123,2014,1973,150,70.72219922,HDPE
RS106662,2014,1981,125,85.69702509999998,CU
RS104973,2014,1972,300,60.03387582,CU
RS105093,2014,1969,250,278.75906569999995,CU
RS102970,2014,1973,150,43.090705,CU
RS105465,2014,1945,80,219.3005084,CU
RS10346,2014,1964,150,73.80597370000002,HDPE
RS109699,2014,1933,80,42.68481329,CU
RS10393,2014,1971,80,78.05988082,HDPE
RS104071,2014,1961,150,83.85993763,CU
RS103992,2014,1961,300,27.25576443,CU
RS106435,2014,1965,150,123.529817,HDPE
RS109582,2014,1979,125,61.18605002,CU
RS106805,2014,1981,300,48.92197936,CU
RS10570,2014,1950,150,28.38403299,CU
RS104126,2014,1962,250,80.61843114,CU
RS106340,2014,1971,300,52.57025882,CU
RS10270,2014,1926,100,416.7750327,CU
RS106764,2014,1967,150,343.2149111,HDPE
RS103080,2014,1962,150,76.46750390000003,CU
RS106541,2014,1973,150,289.7399349,HDPE
RS10768,2014,1960,80,79.00243902,HDPE
RS104384,2014,1982,150,86.3825684,HDPE
RS103034,2014,1958,80,116.7146586,CU
RS103991,2014,1955,150,46.68372670000001,CU
RS104087,2014,1982,50,25.96616733,ABS
RS106782,2014,1964,150,233.6423141,HDPE
RS109085,2014,1973,150,98.7862126,HDPE
RS109693,2014,1947,80,51.63633002,CU
RS103550,2014,1967,150,125.9453647,HDPE
RS10289,2014,1962,300,98.84464826,CU
RS106619,2014,1947,125,83.21865082,CU
RS103974,2014,1966,150,41.03152907,HDPE
RS106653,2014,1963,300,27.2605253,CU
RS109611,2014,1995,200,915.9654344,GI
RS103099,2014,1979,125,174.9009997,CU
RS102922,2014,1971,150,341.3827729,CU
RS106760,2014,1969,125,57.24940646,CU
RS106724,2014,1947,125,203.1693466,CU
RS104363,2014,1976,300,59.68783896,CU
RS109105,2014,1987,150,205.5384555,HDPE
RS106041,2014,1958,80,209.9058957,HDPE
RS103131,2014,1978,150,135.4426101,CU
RS106256,2014,1969,125,203.7152626,CU
RS106002,2014,1950,100,102.7211505,CU
RS106561,2014,1946,100,140.5204221,CU
RS10262,2014,1967,80,50.72167195,CU
RS102920,2014,1953,150,23.89755284,CU
RS10307,2014,1963,150,146.5664763,HDPE
RS10148,2014,1977,150,42.35172073,HDPE
RS106335,2014,1986,80,86.85452368,HDPE
RS109579,2014,1965,300,53.47439447,CU
RS106701,2014,1963,150,86.45288245,CU
RS102998,2014,1970,80,84.44029388,HDPE
RS106893,2014,1977,150,134.6163617,HDPE
RS106778,2014,1973,150,378.0166593,HDPE
RS103100,2014,1972,125,95.58337818,CU
RS106682,2014,1976,150,199.6910113,CU
RS103033,2014,1973,300,69.75187969,CU
RS106428,2014,1960,150,43.63520993,HDPE
RS102981,2014,1967,80,42.39119633,CU
RS10401,2014,1967,100,68.46832583,CU
RS102985,2014,1967,125,61.22151615,CU
RS105988,2014,1975,300,54.12990747,CU
RS10287,2014,1959,150,47.24306651,HDPE
RS106786,2014,1971,150,111.1028927,HDPE
RS102971,2014,1971,150,63.06300145,HDPE
RS105114,2014,1973,150,68.16961859999999,HDPE
RS105172,2014,1969,300,309.9271080000001,CU
RS10145,2014,1973,150,45.10634839,HDPE
RS10965,2014,1976,125,72.41608049,CU
RS106539,2014,1964,150,224.3108719,HDPE
RS106058,2014,1961,125,186.1981067,CU
RS10372,2014,1967,150,21.62072478,CU
RS104055,2014,1952,150,101.8367026,CU
RS103466,2014,1925,100,290.7723565,CU
RS109138,2014,1978,150,61.43896826,HDPE
RS10409,2014,1944,250,81.18643778,CU
RS106804,2014,1977,300,30.86194797,CU
RS106407,2014,1975,80,100.4894025,HDPE
RS109639,2014,1929,80,270.13268480000005,CU
RS106769,2014,1973,150,283.5919752,HDPE
RS106368,2014,1967,150,122.2803374,CU
RS106137,2014,1957,150,72.98670128,HDPE
RS106337,2014,1989,150,94.45970651,HDPE
