part_id,failure_year,part_year,diameter,length,material,has_failed
RS241601,2013,2001,250,108.76927759999998,MPVC,1
RS152203,2014,2001,125,18.73249533,MPVC,1
RS43054,2013,1966,100,15.57811802,CU,1
RS200884,2015,1989,250,189.3657365,GI,1
RS194791,2013,1967,125,10.60940044,CU,1
RS197372,2014,2000,125,105.9178937,MPVC,1
RS28665,2015,1913,80,117.49900090000001,CU,1
RS129196,2013,1939,100,171.27558269999997,CU,1
RS18446,2013,1954,100,7.307439644,CU,1
RS60083,2013,1973,80,71.98181006,HDPE,1
RS74749,2014,1957,100,22.31271897,CU,1
RS73747,2015,1974,150,64.6430275,CU,1
RS73747,2013,1974,150,64.6430275,CU,1
RS50996,2015,1968,250,451.6796774,CU,1
RS174937,2015,1973,150,329.7998514,HDPE,1
RS198983,2011,1910,100,272.20218860000006,CU,1
RS27979,2015,1939,125,109.8231321,CU,1
RS40641,2012,1965,100,8.865905957,CU,1
RS140284,2013,1967,80,138.66299899999999,HDPE,1
RS16923,2015,1985,150,2.8462526510000004,GI,1
RS1762,2015,1968,125,364.1809,HDPE,1
RS2312,2015,1977,125,38.17663802,HDPE,1
RS203969,2014,1963,80,66.28166285,CU,1
RS246977,2015,1988,300,206.9982324,GI,1
RS129370,2013,1946,100,45.3852535,HDPE,1
RS12792,2014,1952,125,70.79884995,HDPE,1
RS12792,2013,1952,125,70.79884995,HDPE,1
RS12792,2013,1952,125,70.79884995,HDPE,1
RS12792,2013,1952,125,70.79884995,HDPE,1
RS12792,2012,1952,125,70.79884995,HDPE,1
RS163379,2015,1906,150,85.96853375,CU,1
RS172376,2013,1909,125,95.66762226,CU,1
RS43995,2013,1955,100,1.09141469,HDPE,1
RS210444,2012,1966,125,109.36181780000001,CU,1
RS210444,2013,1966,125,109.36181780000001,CU,1
RS210444,2011,1966,125,109.36181780000001,CU,1
RS16574,2011,1957,100,65.06098999,HDPE,1
RS51423,2014,1965,125,57.71941384,HDPE,1
RS201407,2015,1993,80,21.4109759,MPVC,1
RS158111,2011,1961,150,14.92841012,CU,1
RS158111,2014,1961,150,14.92841012,CU,1
RS139184,2014,1973,100,112.1748668,CU,1
RS139184,2014,1973,100,112.1748668,CU,1
RS218966,2013,1995,150,45.15865655,GI,1
RS68787,2011,1958,100,17.24316091,CU,1
RS34809,2012,1973,100,12.61822146,CU,1
RS216972,2015,1998,80,139.18671030000002,MPVC,1
RS60728,2013,1976,150,176.96167340000005,CU,1
RS60728,2014,1976,150,176.96167340000005,CU,1
RS242201,2015,1970,100,56.55626116,CU,1
RS149278,2013,1927,125,4.756846201,CU,1
RS144255,2013,1953,100,50.67488004,CU,1
RS144255,2013,1953,100,50.67488004,CU,1
RS33117,2015,1974,125,15.48064302,CU,1
RS106806,2012,1984,125,10.57631472,CU,1
RS38795,2013,1969,200,227.814679,CU,1
RS25706,2015,1965,300,28.13323905,CU,1
RS68413,2015,1975,80,103.21606659999999,HDPE,1
RS25748,2014,1959,150,136.9648919,CU,1
RS25748,2013,1959,150,136.9648919,CU,1
RS43927,2013,1931,80,108.31196899999999,CU,1
RS43927,2014,1931,80,108.31196899999999,CU,1
RS98863,2015,1975,100,59.96616638,CU,1
RS64792,2013,1985,150,150.0505886,HDPE,1
RS3614,2013,1952,150,41.21848202,CU,1
RS3614,2014,1952,150,41.21848202,CU,1
RS114585,2014,1971,80,81.44423990000001,CU,1
RS177035,2015,1927,100,61.41237485,CU,1
RS85337,2015,1926,125,188.65844019999997,CU,1
RS142501,2015,1974,150,91.55743839,CU,1
RS195366,2014,1964,80,56.57121199,CU,1
RS195366,2013,1964,80,56.57121199,CU,1
RS176812,2013,1917,80,102.5466953,CU,1
RS28620,2012,1919,125,103.7730755,CU,1
RS247781,2012,1974,80,6.499413951,CU,1
RS179416,2015,1947,100,68.84827739,CU,1
RS50814,2013,1961,100,37.67186956,HDPE,1
RS117208,2014,1954,100,108.30173980000001,CU,1
RS14197,2013,1962,225,193.4223737,HDPE,1
RS36865,2011,1972,80,156.5986796,HDPE,1
RS137864,2015,1950,100,278.3798095,CU,1
RS60084,2011,1969,80,9.015442743,CU,1
RS216693,2015,2003,100,43.22830037,MPVC,1
RS193569,2014,1961,125,118.38278759999999,HDPE,1
RS10784,2013,1958,100,224.44170150000002,HDPE,1
RS10784,2011,1958,100,224.44170150000002,HDPE,1
RS10784,2014,1958,100,224.44170150000002,HDPE,1
RS51044,2015,1930,125,33.94450749,CU,1
RS64685,2013,1969,150,21.555764,CU,1
RS47234,2014,1940,100,66.76702642,CU,1
RS256041,2012,1956,100,24.99380879,CU,1
RS234096,2015,1945,80,168.4314805,CU,1
RS251192,2014,1960,80,8.222712331,CU,1
RS75369,2013,1946,80,24.49452585,HDPE,1
RS75369,2014,1946,80,24.49452585,HDPE,1
RS75369,2015,1946,80,24.49452585,HDPE,1
RS172123,2014,1998,125,19.62823198,GI,1
RS12032,2014,1938,225,21.16668105,CU,1
RS182460,2013,1925,100,167.8891147,CU,1
RS21792,2015,1934,100,60.86320932,CU,1
RS21792,2015,1934,100,60.86320932,CU,1
RS124171,2014,1941,80,105.05570039999999,CU,1
RS138248,2014,1980,100,25.61182577,CU,1
RS207291,2015,1994,150,52.16296045,MPVC,1
RS5697,2014,1973,100,72.06236114,HDPE,1
RS118045,2015,1964,125,16.34350963,CU,1
RS152507,2012,1997,80,17.03950214,MPVC,1
RS136770,2015,1955,100,5.516314384,CU,1
RS200365,2015,1971,250,27.29768933,CU,1
RS252182,2013,1958,250,121.69328529999999,CU,1
RS194203,2012,1974,80,11.52594262,HDPE,1
RS205239,2012,1968,80,10.63921375,CU,1
RS113866,2013,1985,100,10.37719776,GI,1
RS167115,2014,1903,200,58.11556491,CU,1
RS65428,2015,1969,80,140.2004355,HDPE,1
RS182079,2014,1969,100,66.57966303,HDPE,1
RS245621,2012,2007,300,5.9834481010000005,EW,1
RS31653,2014,1975,300,2.879702426,CU,1
RS29583,2013,1956,150,122.2369743,HDPE,1
RS160774,2011,1976,125,337.7638677,HDPE,1
RS10639,2014,1961,80,66.4738626,HDPE,1
RS10639,2013,1961,80,66.4738626,HDPE,1
RS82417,2011,1929,125,134.8302487,CU,1
RS82417,2013,1929,125,134.8302487,CU,1
RS64921,2011,1981,125,65.75963904,HDPE,1
RS212563,2014,1921,100,6.6363549410000005,CU,1
RS28771,2013,1924,100,13.941274100000001,CU,1
RS24108,2014,1934,100,59.46770795,CU,1
RS195029,2013,1973,100,83.93544936,CU,1
RS195029,2015,1973,100,83.93544936,CU,1
RS38650,2014,1982,150,22.51023837,GI,1
RS69045,2014,1973,125,7.1464653920000005,CU,1
RS26836,2012,1963,80,12.32729284,CU,1
RS168077,2014,1986,125,90.23145333,HDPE,1
RS3695,2014,1939,250,300.5262722,CU,1
RS186858,2013,1913,80,36.29366557,CU,1
RS109597,2014,1961,150,3.220158633,CU,1
RS183323,2013,1967,150,16.34013561,CU,1
RS176991,2013,1929,100,63.46615637,CU,1
RS181341,2015,1990,125,27.71168696,GI,1
RS157756,2014,1949,80,12.51406269,CU,1
RS52395,2014,1974,125,64.00213233,HDPE,1
RS82020,2013,1975,150,17.06828056,CU,1
RS195071,2012,1952,150,27.84518346,CU,1
RS97278,2013,1905,100,42.68567344,CU,1
RS97278,2014,1905,100,42.68567344,CU,1
RS3849,2013,1972,250,14.7670812,RC,1
RS13376,2013,1977,100,6.456858767000001,CU,1
RS37738,2015,1926,80,115.92483940000001,CU,1
RS176834,2013,1924,100,255.2561319,CU,1
RS14686,2014,1969,125,13.76600738,CU,1
RS14686,2015,1969,125,13.76600738,CU,1
RS5446,2015,1962,125,224.9922878,HDPE,1
RS119358,2014,1940,125,71.1328452,CU,1
RS119358,2012,1940,125,71.1328452,CU,1
RS119358,2013,1940,125,71.1328452,CU,1
RS194360,2015,1976,250,101.0048804,CU,1
RS179737,2013,1963,80,171.2333042,HDPE,1
RS179737,2013,1963,80,171.2333042,HDPE,1
RS4283,2014,1952,125,65.48902945,HDPE,1
RS115499,2013,1971,80,140.1716321,HDPE,1
RS184628,2015,1979,125,57.08999445,HDPE,1
RS183264,2012,1969,225,115.93499320000001,CU,1
RS183264,2012,1969,225,115.93499320000001,CU,1
RS42622,2014,1962,100,21.79914594,CU,1
RS200848,2013,1975,150,8.461204191,CU,1
RS194228,2013,1973,150,75.03590631,HDPE,1
RS159752,2012,1967,125,152.07374719999999,HDPE,1
RS59617,2011,1961,80,75.31826336,HDPE,1
RS43772,2013,1953,80,32.84505541,CU,1
RS42030,2013,1937,100,6.6514461570000005,CU,1
RS189542,2014,1954,125,190.6970593,CU,1
RS203630,2012,1965,125,153.4985904,CU,1
RS147127,2013,1989,150,2.818210912,RC,1
RS28613,2014,1948,100,82.4151033,CU,1
RS28613,2014,1948,100,82.4151033,CU,1
RS255305,2012,1926,80,2.517986683,CU,1
RS178140,2014,1984,125,1.290630509,HDPE,1
RS44599,2013,1907,80,117.29751920000001,CU,1
RS202206,2015,1967,200,203.1844163,CU,1
RS6852,2012,1987,150,5.609894144,MPVC,1
RS52237,2015,1999,80,141.6353233,MPVC,1
RS77175,2015,1970,100,108.79334240000001,HDPE,1
RS197282,2013,1972,125,16.42575788,CU,1
RS112720,2013,1957,150,331.1011683000001,CU,1
RS92391,2015,1968,125,641.6575958,CU,1
RS25019,2015,1947,80,49.34499122,CU,1
RS25019,2015,1947,80,49.34499122,CU,1
RS25019,2012,1947,80,49.34499122,CU,1
RS154182,2013,1975,100,136.7805323,CU,1
RS114218,2015,1961,150,12.36150645,CU,1
RS142046,2015,1939,80,4.823791857,CU,1
RS51273,2014,1969,150,57.56266699,HDPE,1
RS50143,2013,1961,80,18.46381661,CU,1
RS125639,2015,1940,100,143.4951764,CU,1
RS34090,2013,1981,125,277.1837573,HDPE,1
RS254382,2013,2003,150,129.3951653,MPVC,1
RS92614,2014,1972,80,197.5332155,HDPE,1
RS194367,2014,1968,125,64.79054996,HDPE,1
RS161568,2012,1971,150,8.479302404,CU,1
RS179887,2012,1940,80,105.636835,CU,1
RS165026,2013,1906,100,130.7161676,CU,1
RS24131,2013,1936,100,186.4767381,CU,1
RS20975,2011,1940,80,36.00677688,HDPE,1
RS32863,2013,1963,125,11.4216168,CU,1
RS180483,2013,1974,125,26.2964703,CU,1
RS185194,2012,1978,150,23.18365142,CU,1
RS149294,2013,1924,125,92.25307512,CU,1
RS149294,2015,1924,125,92.25307512,CU,1
RS19027,2013,1971,100,53.70144965,CU,1
RS4744,2013,1975,125,158.106083,HDPE,1
RS138800,2015,1943,100,30.40627234,HDPE,1
RS164494,2013,1965,125,166.38976730000005,CU,1
RS211747,2015,1949,80,74.28219323,CU,1
RS196976,2013,1957,80,29.62460405,CU,1
RS125168,2013,1917,100,54.56218927,CU,1
RS125168,2012,1917,100,54.56218927,CU,1
RS183092,2015,1958,150,158.902596,HDPE,1
RS118175,2014,1976,150,20.38503951,HDPE,1
RS197922,2012,1961,80,69.32198572,HDPE,1
RS11875,2015,1957,150,33.9640523,HDPE,1
RS246908,2014,1913,100,108.53270400000001,CU,1
RS30995,2015,1957,100,16.45343847,CU,1
RS202914,2013,1946,80,31.49578847,CU,1
RS202914,2012,1946,80,31.49578847,CU,1
RS202914,2014,1946,80,31.49578847,CU,1
RS207950,2012,1898,63,175.1900071,CU,1
RS174706,2015,1959,125,200.7840239,CU,1
RS122210,2013,1920,80,11.35706532,CU,1
RS11061,2012,1968,150,30.91917247,CU,1
RS23068,2014,1970,150,110.87541100000001,HDPE,1
