Part ID,Install Year,Diameter Size,Length,Material
RS241601,2001,250,108.76927759999998,MPVC
RS152203,2001,125,18.73249533,MPVC
RS43054,1966,100,15.57811802,CU
RS109061,1979,125,49.66006936,GI
RS200884,1989,250,189.3657365,GI
RS10140,1970,80,12.71748158,CU
RS10837,1979,150,18.43514983,GI
RS194791,1967,125,10.60940044,CU
RS197372,2000,125,105.9178937,MPVC
RS28665,1913,80,117.4990009,CU
RS106010,1993,125,3.159058264,GI
RS129196,1939,100,171.27558269999997,CU
RS18446,1954,100,7.307439644,CU
RS60083,1973,80,71.98181006,HDPE
RS10953,1967,300,140.5247672,CU
RS10957,1969,80,4.541857237,CU
RS105403,1994,80,79.93965663,MPVC
RS74749,1957,100,22.31271897,CU
RS73747,1974,150,64.6430275,CU
RS105103,1992,200,39.03256904,GI
RS50996,1968,250,451.6796774,CU
RS174937,1973,150,329.7998514,HDPE
RS10032,1957,125,14.32282689,CU
RS198983,1910,100,272.20218860000006,CU
RS27979,1939,125,109.8231321,CU
RS40641,1965,100,8.865905957,CU
RS140284,1967,80,138.662999,HDPE
RS16923,1985,150,2.8462526510000004,GI
RS1762,1968,125,364.1809,HDPE
RS103560,1993,125,11.33960172,GI
RS2312,1977,125,38.17663802,HDPE
RS203969,1963,80,66.28166285,CU
RS246977,1988,300,206.9982324,GI
RS106436,1972,125,50.65210571,HDPE
RS129370,1946,100,45.3852535,HDPE
RS109068,1991,125,2.809327643,GI
RS106842,1968,125,2.173022861,HDPE
RS105166,1993,300,25.63875411,GI
RS103969,1958,80,3.926776976,CU
RS104348,1973,150,10.92269429,CU
RS12792,1952,125,70.79884995,HDPE
RS106839,1975,300,96.12413376,CU
RS163379,1906,150,85.96853375,CU
RS106749,1963,250,23.31590827,CU
RS103472,1962,100,2.816992721,HDPE
RS172376,1909,125,95.66762226,CU
RS43995,1955,100,1.09141469,HDPE
RS106217,1967,125,24.82755198,CU
RS210444,1966,125,109.3618178,CU
RS16574,1957,100,65.06098999,HDPE
RS51423,1965,125,57.71941384,HDPE
RS201407,1993,80,21.4109759,MPVC
RS158111,1961,150,14.92841012,CU
RS10410,1983,225,8.077511334,CU
RS10244,1962,100,76.04916774,HDPE
RS139184,1973,100,112.1748668,CU
RS218966,1995,150,45.15865655,GI
RS102994,1963,80,2.581110604,CU
RS106192,1988,80,24.7806955,GI
RS109164,1997,125,36.00058619,MPVC
RS109659,1987,150,1.231281018,HDPE
RS68787,1958,100,17.24316091,CU
RS106338,1989,125,5.541112517999999,HDPE
RS34809,1973,100,12.61822146,CU
RS216972,1998,80,139.18671030000002,MPVC
RS103107,1962,300,0.948670735,CU
RS106139,1959,150,9.51922381,CU
RS10759,1957,150,8.742040386000001,CU
