Part ID,Failure_Year
RS241601,2013
RS152203,2014
RS43054,2013
RS200884,2015
RS194791,2013
RS197372,2014
RS28665,2015
RS129196,2013
RS18446,2013
RS60083,2013
RS74749,2014
RS73747,2015
RS50996,2015
RS174937,2015
RS198983,2011
RS27979,2015
RS40641,2012
RS140284,2013
RS16923,2015
RS1762,2015
RS2312,2015
RS203969,2014
RS246977,2015
RS129370,2013
RS12792,2014
RS163379,2015
RS172376,2013
RS43995,2013
RS210444,2012
RS16574,2011
RS51423,2014
RS201407,2015
RS158111,2011
RS139184,2014
RS218966,2013
RS68787,2011
RS34809,2012
RS216972,2015
RS60728,2013
RS242201,2015
RS149278,2013
RS144255,2013
RS33117,2015
RS106806,2012
RS38795,2013
RS25706,2015
RS68413,2015
RS25748,2014
RS43927,2013
RS98863,2015
RS64792,2013
RS3614,2013
RS114585,2014
RS177035,2015
RS85337,2015
RS142501,2015
RS195366,2014
RS176812,2013
RS28620,2012
RS247781,2012
RS179416,2015
RS50814,2013
RS117208,2014
RS14197,2013
RS36865,2011
RS137864,2015
RS60084,2011
RS216693,2015
RS193569,2014
RS10784,2013
RS51044,2015
RS64685,2013
RS47234,2014
RS256041,2012
RS234096,2015
RS251192,2014
RS75369,2013
RS172123,2014
RS12032,2014
RS182460,2013
RS21792,2015
RS124171,2014
RS138248,2014
RS207291,2015
RS5697,2014
RS118045,2015
RS152507,2012
RS136770,2015
RS200365,2015
RS252182,2013
RS194203,2012
RS205239,2012
RS113866,2013
RS167115,2014
RS65428,2015
RS182079,2014
RS245621,2012
RS31653,2014
RS29583,2013
RS160774,2011
RS10639,2014
RS82417,2011
RS64921,2011
RS212563,2014
RS28771,2013
RS24108,2014
RS195029,2013
RS38650,2014
RS69045,2014
RS26836,2012
RS168077,2014
RS3695,2014
RS186858,2013
RS109597,2014
RS183323,2013
RS176991,2013
RS181341,2015
RS157756,2014
RS52395,2014
RS82020,2013
RS195071,2012
RS97278,2013
RS3849,2013
RS13376,2013
RS37738,2015
RS176834,2013
RS14686,2014
RS5446,2015
RS119358,2014
RS194360,2015
RS179737,2013
RS4283,2014
RS115499,2013
RS184628,2015
RS183264,2012
RS42622,2014
RS200848,2013
RS194228,2013
RS159752,2012
RS59617,2011
RS43772,2013
RS42030,2013
RS189542,2014
RS203630,2012
RS147127,2013
RS28613,2014
RS255305,2012
RS178140,2014
RS44599,2013
RS202206,2015
RS6852,2012
RS52237,2015
RS77175,2015
RS197282,2013
RS112720,2013
RS92391,2015
RS25019,2015
RS154182,2013
RS114218,2015
RS142046,2015
RS51273,2014
RS50143,2013
RS125639,2015
RS34090,2013
RS254382,2013
RS92614,2014
RS194367,2014
RS161568,2012
RS179887,2012
RS165026,2013
RS24131,2013
RS20975,2011
RS32863,2013
RS180483,2013
RS185194,2012
RS149294,2013
RS19027,2013
RS4744,2013
RS138800,2015
RS164494,2013
RS211747,2015
RS196976,2013
RS125168,2013
RS183092,2015
RS118175,2014
RS197922,2012
RS11875,2015
RS246908,2014
RS30995,2015
RS202914,2013
RS207950,2012
RS174706,2015
RS122210,2013
RS11061,2012
RS23068,2014
RS115532,2014
RS175646,2011
RS10198,2014
RS65959,2013
RS77231,2012
RS49857,2015
RS119135,2014
RS54189,2014
RS137730,2011
RS13349,2013
RS66530,2014
RS94779,2011
RS37657,2015
RS180117,2014
RS169818,2015
RS106629,2015
RS103954,2015
RS82491,2013
RS85097,2012
RS264036,2012
RS36549,2013
RS133418,2015
RS41663,2014
RS9744,2012
RS190670,2013
RS126403,2015
RS206588,2015
RS113189,2014
RS167245,2014
RS173422,2011
RS64881,2014
RS105468,2013
RS183386,2012
RS23606,2012
RS104269,2014
RS29531,2014
RS99115,2014
RS160820,2014
RS210123,2014
RS21099,2015
RS25619,2013
RS76823,2014
RS67914,2014
RS36155,2013
RS95386,2011
RS41615,2012
RS57370,2015
RS159776,2013
RS91265,2015
RS52060,2013
RS74760,2013
RS138864,2015
RS129401,2011
RS56725,2013
RS244657,2015
RS169789,2015
RS236989,2012
RS21716,2014
RS190567,2012
RS192441,2013
RS255267,2011
RS207647,2014
RS55331,2015
RS216865,2013
RS140212,2014
RS186500,2012
RS203312,2015
RS245133,2012
RS217939,2015
RS168207,2014
RS193718,2014
RS178310,2011
RS12792,2013
RS26925,2012
RS143945,2014
RS47573,2014
